Alternativa,MAE,RMSE,R2,MAPE_%,MAE_media_particoes,MAE_desvio_particoes,R2_media_particoes,R2_desvio_particoes
3. Floresta Aleatoria,3596.6713893847386,6803.653790877824,0.9903164185057166,11.14501919675825,3564.423803344125,889.0782794830253,0.9904927441632122,0.005578020130344697
Ref. media da cultura,4771.544341397849,7846.086903800518,0.9871217210526784,14.242139409810045,4751.370273809524,665.693395667737,0.9871317768408716,0.002806746904417413
2. Arvore de Decisao,4800.024396884478,9363.871953050204,0.9816573308721523,13.031675665590365,4789.952025335775,384.20103290237444,0.9817621126825093,0.004810402598568034
1. Regressao Linear,5024.796350911908,7914.605625555667,0.9868958106921611,19.526205999320993,5006.875521854202,795.1249854380856,0.9869738808975118,0.004078616610931146
4. KNN,6758.644656005936,15723.34463210875,0.948282030365261,35.39153565085737,6592.439049136803,5266.321786096843,0.9515438242387353,0.06004587773525429
5. SVR (RBF),7364.584444420614,11001.174895826844,0.9746819800441434,39.55648198512455,7256.882433795839,2995.851804522939,0.9753326364442344,0.016201403599083296
Ref. media global (Dummy),58897.78496639785,69145.92459629668,-0.00019522322808729342,340.8469865088891,58893.72792261905,632.2306768197892,-0.0005482239181451743,0.0006985477159683068
